subset,numero,giocatore,squadra
Base,200,Lopez Maxime,US Sassuolo Calcio
Next Up,7,Pinamonti Andrea,US Sassuolo Calcio
Base,66,Satriano Martin,Empoli FC
Game Face,16,Immobile Ciro,SS Lazio
Base,109,Gendrey Valentin,US Lecce
Base,185,Daniliuc Flavius,US Salernitana
Score Team,23,Alberto Luis,SS Lazio
Breakthrough,15,Vlahovic Dusan,Juventus
Next Up,9,Bellanova Raoul,FC Internazionale Milano
Base,108,Hjulmand Morten,US Lecce
Next Up,3,Cabral Arthur,ACF Fiorentina
Base,157,Ricci Samuele,Torino FC
Game Face,14,Locatelli Manuel,Juventus
Intergalactic,9,Barella Nicolo,FC Internazionale Milano
Hot Rookies,16,Kvaratskhelia Khvicha,SSC Napoli
Score Signatures,4,Van Basten Marco,AC Milan
Base,170,Augello Tommaso,UC Sampdoria
Base,59,Dessers Cyriel,US Cremonese
Game Face,19,Berardi Domenico,US Sassuolo Calcio
Game Face,9,Martinez Lautaro,FC Internazionale Milano
Intergalactic,2,Leao Rafael,AC Milan
Base,142,Zambo Anguissa Andre-Frank,SSC Napoli
Base,75,Asllani Kristjan,FC Internazionale Milano
Base,190,Lovato Matteo,US Salernitana
Base,177,Makengo Jean-Victor,Udinese Calcio
Base,148,Politano Matteo,SSC Napoli
Captain,8,Di Lorenzo Giovanni,SSC Napoli
Score Team,22,Maggiore Giulio,US Salernitana
Base,105,Strefezza Gabriel,US Lecce
Breakthrough,8,(M) Ederson,Atalanta BC
Next Up,11,Fagioli Nicolo,Juventus
Next Up,13,Maldini Daniel,Spezia Calcio
All Hands Team,6,Di Gregorio Michele,AC Monza
Base,103,Gonzalez Joan,US Lecce
Breakthrough,18,Mota Dany,AC Monza
Score Team,6,Abraham Tammy,AS Roma
Base,160,Singo Wilfried,Torino FC
Base,192,Consigli Andrea,US Sassuolo Calcio
Base,165,Caputo Francesco,UC Sampdoria
All Hands Team,3,Musso Juan,Atalanta BC
Base,162,Bereszynski Bartosz,UC Sampdoria
Base,55,Zanimacchia Luca,US Cremonese
Base,189,Dia Boulaye,US Salernitana
Base,52,Okereke David,US Cremonese
Score Team,13,Martinez Lautaro,FC Internazionale Milano
Base,83,Coppola Diego,Hellas Verona FC
Intergalactic,7,Calhanoglu Hakan,FC Internazionale Milano
Base,17,Jovic Luka,ACF Fiorentina
Base,29,Abraham Tammy,AS Roma
Base,122,Strelec David,Spezia Calcio
Base,65,Cacace Liberato,Empoli FC
Base,163,Audero Emil,UC Sampdoria
Breakthrough,23,Ricci Samuele,Torino FC
Intergalactic,5,Pellegrini Lorenzo,AS Roma
Score Signatures,8,Rudiger Antonio,AS Roma
Base,116,Ranocchia Filippo,AC Monza
Base,4,Bennacer Ismael,AC Milan
Hot Rookies,11,Soule Matias,Juventus
Score Team,17,Rabiot Adrien,Juventus
Score Team,1,Saelemaekers Alexis,AC Milan
Base,130,Bastoni Simone,Spezia Calcio
Captain,3,Pellegrini Lorenzo,AS Roma
Base,47,Barrow Musa,Bologna FC
Base,104,Banda Lameck,US Lecce
Base,99,Cuadrado Juan,Juventus
Next Up,18,Ricci Samuele,Torino FC
Base,127,Kiwior Jakub,Spezia Calcio
Base,106,Pongracic Marin,US Lecce
Base,194,Berardi Domenico,US Sassuolo Calcio
Base,119,Rovella Nicolo,AC Monza
Base,81,Tameze Adrien,Hellas Verona FC
Breakthrough,24,Singo Wilfried,Torino FC
Next Up,8,Asllani Kristjan,FC Internazionale Milano
Base,145,Di Lorenzo Giovanni,SSC Napoli
Base,125,Maggiore Giulio,US Salernitana
Breakthrough,10,Okereke David,US Cremonese
Base,141,Meret Alex,SSC Napoli
Base,76,Martinez Lautaro,FC Internazionale Milano
Base,19,Milenkovic Nikola,ACF Fiorentina
Game Face,11,Di Maria Angel,Juventus
Hot Rookies,13,Colombo Lorenzo,US Lecce
Hot Rookies,4,Bove Edoardo,AS Roma
Hot Rookies,9,Bellanova Raoul,FC Internazionale Milano
Base,158,Lukic Sasa,Torino FC
